file,product_name,manufacturer,address,net_quantity,consumer_care,licence,mrp,mfg_date,expiry,country,importer,batch,notes
wa-01.jpg,Tilli Chikki,Anjan Sri Foods,"10-3-99/28, Opp. Govt. Zilla Parishat High School, Kamareswara Rao Colony, Saroornagar, Lingojiguda, RR Dist TS-500 035",200g,anjansrifoods9866@gmail.com +91 93915 65526,10220120000033,80.00,16-07-2026,14-10-2026,India,,160726,pouch rotated 90; licence digits uncertain
wa-02.jpg,Thums Up,Hindustan Coca-Cola Beverages Pvt. Ltd.,"303 & 304, Baani Address 1, Golf CRS Rd, Sec-56, Gurugram-122011, Haryana",750 ml,1800-208-2653 indiahelpline@coca-cola.com,10012011000620,40,,,India,,,glass bottle curved; MRP on sticker; dates on neck
wa-03.jpg,,Hindustan Coca-Cola Beverages Pvt. Ltd.,"303 & 304, Baani Address 1, Golf CRS Rd, Sec-56, Gurugram-122011, Haryana",750 ml,1800-208-2653 indiahelpline@coca-cola.com,10012011000620,,,,India,,,PET bottle black label; MRP/dates on neck
wa-04.jpg,Packaged Drinking Water,Parle Agro Pvt. Ltd.,"Off Western Express Highway, Sahar-Chakala Road, Parsiwada, Andheri (East), Mumbai - 400099, Maharashtra",500 ml,consumercell@parleagro.com,,,,,India,,,PET bottle purple; MRP/dates on cap; licence hidden by finger
wa-05.jpg,Packaged Drinking Water,Bisleri International Pvt. Ltd.,"Western Express Highway, Andheri, Mumbai - 400 099, Maharashtra",500 ml,1800-121-1007 customercare@bisleri.co.in,11524998000680,,,,India,,,PET bottle upside down (180)
wa-06.jpg,,Maharishi Ayurveda Products Pvt. Ltd.,"83, DLF Industrial Area, Phase-I, Faridabad (HR)",30g,1080-1020-230 info@maharishiayurvedaindia.com,10818003000247,220.00,11.25,10.28,India,,OAWT-002,carton; dot-matrix legend block; batch uncertain
wa-07.jpg,,Marico Ltd.,"Grande Palladium, 175 CST Road, Santacruz (East), Mumbai 400 098",38 g,1800222248 csc@marico.com,10021042000608,20.00,02JUN2026,02JUN2027,India,,AC0626I102,Saffola oats pouch; MRP legend block with inkjet values
wa-08.jpg,,,,52 g,,,,,,,,,Saffola cup; MRP/dates on bottom of cup - only net qty on this panel
wa-09.jpg,Ensure Diabetes Care,Abbott Healthcare Pvt. Ltd.,"Plot No. 901-B, GIDC, Jhagadia, Bharuch, Gujarat - 393 110",200 g,1800 266 0448 wecare.anindia@abbott.com,10013021000829,515.00,23/02/26,17/08/27,India,,86059MN1,carton; inkjet row MFG PKD EXP
wa-10.jpg,Tissue paper (Napkins),Premier Tissues India Ltd,"#58 & 59, Ranganathapura, Near Bannur, Rangasamudra Post, T.Narasipura TQ, Mysore - 571101, Karnataka",90 N Pulls,080 43331510 consumercare@premiertissues.com,,,06/2026,,India,,,tissue box in shrink wrap rotated 90; MRP inkjet unreadable
wa-11.jpg,Cake,Bakemill Foods,"159-B Andankulam Road, Nadavaramba, P.O & Circle Irinjalakuda, Thrissur, Kerala-680661",140 g,+91 96061 22221 consumercare@unibicfoods.com,11323999000236,75.00,27.07.2026,24.11.2026,India,,V6458,Unibic cake pouch; table row NET WEIGHT LOT MFG USE BY MRP
wa-12.jpg,Chocolate Cookies,Dusk Miller Confectionery LLP,"4-65, Green City Paradise, Gandiguda, Shamshabad, Hyderabad, Telangana - 501218",,+91 90520 00904 sales@duskmiller.com,13623010000062,80,27/06/2026,26/06/2027,India,,F2648ECC,carton Everyday Essentials; MRP 80/-; net qty not on this panel
wa-13.jpg,Cake,Parsons Nutritionals Private Limited,"Unit No. 2001, 20th Floor, Tower - 3, (Wing C), One International Centre, Parel, Mumbai - 400 013",114 g,1800 22 7080 suggestions@mdlzindia.com,10012043000056,100.00,04/08/26,03/03/27,India,,P60804,Cadbury brownie carton upside down (180); Mfd By Parsons Mkt By Mondelez
wa-14.jpg,Centre Filled Biscuit,Mrs. Bectors Food Specialities Ltd.,"Unit No. 2001, 20th Floor, Tower - 3, (Wing C), One International Centre, Parel, Mumbai - 400 013",69 g,1800 22 7080,10018063001211,30.00,01/07/26,28/02/27,India,,L60701,Cadbury Oreo-style carton rotated 90; Mfd by Bectors Mkt by Mondelez
wa-15.jpg,Lotte Choco Pie,Lotte India Corporation Limited,"4/169, Rajiv Gandhi Salai (OMR), Kandanchavadi, Chennai - 600 096, (TN), India",56g,1800599059 customercare@lotteindia.com,12421999000096,,,,India,,,carton rotated 90; MRP/dates on another panel
wa-16.jpg,Toilet Paper,,,350 Pulls/2Ply,,,65.00,,,,,,toilet roll in wrap; MRP ₹65.00; no manufacturer on this panel
wa-17.jpg,,Unibic Foods India Private Limited,"#1134, Shreeram Niwas, 2nd Floor, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bengaluru-560038, Karnataka",135 g,+91 96061 22221 consumercare@unibicfoods.com,11222999000012,60.00,20/06/2026,19/12/2026,India,,02-171/L2/TP1,Unibic biscuit pouch upside down (180); MRP legend block inkjet
wa-18.jpg,,,,19 g,1800 22 7080,,10.00,23/07/26,22/03/27,,,P60723,small Cadbury wrapper rotated 90; sticker Code/Pkd/Use By; MRP Rs.10.00 curved
wa-19.jpg,,Kapilla Confectionery Pvt. Ltd.,"Plot No. 37A SY 15, Vasanthanarasapura, Indl Area, Tumkur-572128, Karnataka - INDIA",60g,+91 8951630300 info@kapillafoods.com,10016043001512,50.00,06/07/2026,05/01/2028,India,,MF05,orange biscuit pouch rotated 90; MRP 50.00/- inkjet
wa-20.jpg,Paneer Butter Masala,Ushodaya Enterprises Pvt. Ltd. (Foods Division),"Corporate Building, Ramoji Film City, Anajpur (V), Hayathnagar (M), RR Dist - 501512, Telangana",300 g,+91 40 23597777 response@priyafoods.com,10015047000440,147.00,28/01/2026,28/01/2027,India,,303 Y/1,Priya RTE carton rotated 90; inkjet row BATCH PKD USE BY MRP
wa-21.jpg,Sandwich Spread,Del Monte Foods Private Limited,"C-2, First Floor, Plot No.-16, Udyog Vihar, Phase-IV, Gurugram-122016, Haryana",80g,+91-124-4109436 feedback@delmontefoodsindia.in,10012064000180,,21 05 26,20 12 26,India,,HCR21E26,spout pouch; faint inkjet M/U/B legend; MRP unreadable
wa-22.jpg,Toilet Soap,Wipro Enterprises (P) Ltd.,"Plot No. 99 - 104, Sector 6A, IIE, SIDCUL, Haridwar - 249 403, UK",600 g,1-800-425-1969 feedback.wcc@wipro.com,M 12/C/UA/2008,240,07/26,,India,,,Santoor multipack carton; legend *MRP @USP #MFD; Use by 36 months
wa-23.jpg,Nourishing baby soap,Himalaya Wellness Company,"No. 7/8, KIADB Industrial Area, Hirehalli, Tumakuru 572 168",125 g,1-800-208-1930 contactus@himalayawellness.com,L-AUS-420,100.00,02/2025,01/2028,India,,272500061,Himalaya carton small print; Mfg Date - Expiry range
wa-24.jpg,Dryness Hydration Shampoo,CavinKare Pvt. Ltd.,"No. 12, Poonthamallee Road, Ekkattuthangal, Chennai - 600 032",180 ml,1800 419 0671 consumerfeedback@cavinkare.com,,145.00,06/26,05/29,India,,A14826,Nyle shampoo bottle upside down (180); inkjet on curved bottle
wa-25.jpg,Meera Shampoo,CavinKare Private Limited,"No. 12, Poonthamallee Road, Ekkattuthangal, Chennai - 600 032",180 ml,18004190671 consumerfeedback@cavinkare.com,,172.00,05/26,04/29,India,,A06B1L,curved yellow bottle orange text; inkjet A06B1L 05/26 04/29 ₹172.00
wa-26.jpg,,,,,,,185.00,04/2026,03/2029,,,CU0017,silver carton bottom rotated 90; struck-through ₹245.00 then ₹185.00
wa-27.jpg,Dettol Antiseptic Liquid,Reckitt Benckiser (India) Pvt. Ltd.,"Gurugram, Haryana",550ml,1800 1022 5817,,267.09,06/26,11/29,India,,WB812,Dettol amber bottle rotated 90; legend #batch $mfd ¥exp; tiny text
wa-28.jpg,Savlon Antiseptic Disinfectant Liquid,Pontika Aerotech Limited,"Village-Johron, P.O.-Puruwala, Nahan Road, Paonta Sahib, Dist. Sirmour, Himachal Pradesh- 173001",100 ml,1 800 103 2426 consumer.care@itc.in,N-MNB/18/196,58.00,04/2026,03/2029,India,,SAL26091,Savlon PET bottle; MRP Rs./Mfd/Expiry/Lot stacked legend
wa-29.jpg,,Tata Consumer Products Limited,"1, Bishop Lefroy Road, Kolkata, West Bengal - 700 020",100 UNITS,1800 108 4488 care@tataconsumer.com,10014031001025,220.00,03/06/26,02/06/27,India,,PP03F52-2,Tetley carton rotated 90 in shrink wrap; BN/Date of Packaging/Use By inkjet
wa-30.jpg,Ghee Mysore Pak,Creamline Dairy Products Ltd.,"H.No. 6-3-1238/B/21, Asif Avenue, Somajiguda, Hyderabad, Telangana 500082",200g,1800 425 5868 customercare.cdpl@godrejcdpl.com,10014047000274,199.00,04.08.26,01.11.26,India,,U.2,Jersey gold carton; inkjet line 200g MRP USP B.NO DOM DOE
wa-31.jpg,Sweetened Condensed Milk,Nestle India Limited,"100/101, World Trade Centre, Barakhamba Lane, New Delhi-110 001",380 g,1800 103 1947 wecare@in.nestle.com,10012066000064,,,,India,,,Milkmaid tin rotated 90; MRP/dates on can lid
wa-32.jpg,,,,,,,140,05/26,04/27,,,,tin lid dot-matrix ring; Rs.140 MRP; unreadable batch
wa-33.jpg,Strawberry Flavored Syrup,Hershey India Private Limited,"Plot No. 5, New Industrial Area No. 1, Mandideep, Dist. Raisen - 462046, M.P.",180g,1800221456 consumercare@hersheys.com,10012026000226,115.00,08.25,03.09.26,India,,HM21625,Hershey's red squeeze bottle rotated 90; inkjet dates
wa-34.jpg,Kimjo Soft Dates,,,400g,,,380.00,28/07/2026,27/01/2027,,,2662,Elephant dates tin lid rotated 90; Batch/Date of Packaging/Used by/MRP/USP columns
wa-35.jpg,R.Kaju (Salted),Avni Marketing,"Plot No. 6-1-124, Balanagar, Hyderabad - 42",100g,9885210909,13617013000916,170,17-08-26,16-11-26,India,,260817,weigh-price sticker on cashew pack; MRP Rs.170/-
wa-36.jpg,Araku Honey,Shanmukha Marketing Associates,"#76-18-9, Shop No.9, Iron Yard, Bhavanipuram, Vijayawada - 520012, Andhra Pradesh",350 g,"9490434744, 9440908883",10121006001080,329,July 2026,,India,,26C01 A,amber glass honey bottle; white text; MRP 329/-; best before 24 months
wa-37.jpg,Vermicelli,ITC Limited,"ITC Green Centre, 10th Floor, No.18, Banaswadi Main Road, Bengaluru-560005",850 g,1800 425 444 444 itccares@itc.in,10012031000312,,,,India,,,Aashirvaad pouch; MRP/Batch/Pkd/Use By legend printed faint red inkjet unreadable
wa-38.jpg,,CCL Products (India) Limited,"5C-1, Continental Coffee Park, Kuvvakolli, Varadaiahpalem, Tirupathi - 517645, Andhra Pradesh",200g,040 - 23732455 customercare@continental.coffee,10121999000079,870.00,MAY/2026,OCT/2027,India,,CPP-13926/12C1,Continental coffee jar curved; MRP/USP/Date of Mfg/Use By/Batch legend with sticker
wa-39.jpg,,Venkataramana Food Specialities Limited,"Plot No. A-474, Wagle Ind. Estate, Thane, Maharashtra-400 604",50 g,1800 22 1917 consumerservices@vfsl.in,11517014000375,60.00,09/07/26,08/01/27,India,,P-190,potato chips pouch; dot-matrix inkjet row ₹60.00 Net Wt 50 g B.No Mfd Use By
wa-40.jpg,Krackjack,Parle Biscuits Pvt Ltd,"North Level Crossing, Vile Parle East, Mumbai, MH - 400057",352.8 g,1800 209 3929 cs@parle.biz,10013022002253,70,29/5/26,24/1/27,India,,Z8 C,Krackjack family pack; printed MRP ₹80.00 but inkjet REVISED MRP ₹70; many unit licences
wa-41.jpg,Marie Light,ITC Limited,"ITC Green Centre, 10th Floor, No. 18, Banaswadi Main Road, Bengaluru - 560005",924 g,itccares@itc.in,10012031000312,150.00,24/07/26,19/04/27,India,,1115A13,Sunfeast Marie Light pouch rotated 90; legend block Batch/Pkd/Use By/MRP
